id,trim,subTrim,condition,isOneOwner,mileage,age,color,disp_cont,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount, price 
5025,550,unsp,New,False,10,2,Black,4.6,Gasoline,WA,Pac,unsp,unsp,unsp,48," $109,665.00 "
5030,550,unsp,New,False,30,1,White,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0," $108,370.00 "
5031,550,unsp,Used,False,2416,2,Black,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,12," $114,995.00 "
5032,550,unsp,New,False,35,2,Black,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,1," $104,985.00 "
5033,550,unsp,New,False,7,2,Green,4.6,Gasoline,CA,Pac,unsp,Alloy,19,77," $105,740.00 "
5034,550,unsp,New,False,12,2,Black,4.6,Gasoline,OK,WSC,unsp,unsp,unsp,3," $115,230.00 "
5036,550,unsp,New,False,12,1,Silver,4.6,Gasoline,ID,Mtn,Premium,Alloy,unsp,67," $128,715.00 "
5040,550,unsp,New,False,28,1,Black,4.6,Gasoline,TX,WSC,unsp,unsp,18,85," $114,165.00 "
5042,550,unsp,New,False,6,1,Black,4.6,Gasoline,CA,Pac,unsp,unsp,18,85," $98,015.00 "
5043,550,unsp,New,False,20,1,White,4.6,Gasoline,FL,SoA,unsp,Alloy,18,63," $103,810.00 "
5045,550,unsp,New,False,5505,2,Silver,4.6,Gasoline,MD,SoA,unsp,unsp,unsp,2," $118,265.00 "
5047,550,unsp,New,False,5,2,Black,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0," $103,995.00 "
5049,550,unsp,New,False,6,2,Black,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,4," $104,615.00 "
5050,550,unsp,New,False,5,2,White,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0," $103,420.00 "
5053,550,unsp,New,False,11,1,unsp,4.6,Gasoline,CA,Pac,Premium,unsp,unsp,79," $101,520.00 "
5054,550,unsp,New,False,11,1,Blue,4.6,Gasoline,FL,SoA,unsp,Alloy,18,64," $111,655.00 "
5055,550,unsp,New,False,39,2,Silver,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0," $120,275.00 "
5056,550,unsp,New,False,10,1,unsp,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,3," $114,600.00 "
5058,550,unsp,New,False,9,1,Silver,4.6,Gasoline,FL,SoA,unsp,Alloy,18,63," $110,905.00 "
