iyear,imonth,iday,city,country,region,provstate,nkill,nkillter
2016,8,4,Unknown,160,5,Surigao del Sur,0,0
2016,3,4,Gush Etzion,155,10,West Bank,1,1
2014,4,15,Tagcatong,160,5,Agusan del Norte,0,0
1994,3,9,Hamadan,94,10,Hamadan,0,
2014,12,15,Bagrami district,4,6,Kabul,0,0
1994,4,27,Umlazi,183,11,KwaZulu-Natal,0,
2008,4,5,Nasirabad,153,6,Balochistan,0,0
2016,6,5,Tripoli,113,10,Tripoli,,0
2012,8,15,Chagai district,153,6,Balochistan,0,0
2015,7,5,Kismayo,182,11,Lower Juba,,
2011,2,1,Kizlyar,167,9,Dagestan,0,0
2008,6,17,Baghdad,95,10,Baghdad,1,
1979,7,26,Santiago,43,3,Santiago Metropolitan,0,
1991,1,16,Turin,98,8,Piedmont,0,
2010,2,19,Kohat,153,6,North-West Frontier Province,0,0
2014,11,12,Unknown,60,10,Unknown,0,0
2012,11,19,Bara,153,6,Khyber Pakhtunkhwa,0,0
2007,8,22,Mogadishu,182,11,Banaadir,2,0
2016,5,5,Abu Qurayn,113,10,Misrata,7,0
2014,6,21,Uspenka,214,9,Donetsk,0,0
1996,6,18,Nat'l Hwy 5 between Phnom Penh and Battambang,36,5,,0,
1995,11,3,Minya,60,10,,5,
2013,10,1,Unknown,60,10,North Sinai,0,0
1992,3,8,Green Bushes,183,11,Eastern Cape,0,
2014,8,23,Turbat,153,6,Balochistan,0,0
2014,5,27,Daji Badimagre,92,6,Meghalaya,1,0
2010,5,14,Ranaba,92,6,Orissa,0,0
2003,3,27,Zwedru,112,11,Grand Gedeh,0,0
2016,11,17,Vanimal,92,6,Kerala,0,0
1995,10,16,Seoul,184,4,,0,
2014,11,20,Babilan,95,10,Diyala,7,3
2015,11,23,Tikrit,95,10,Saladin,6,4
2012,12,8,Bak,4,6,Khost,2,0
2016,10,27,Tangla,92,6,Assam,0,0
1981,12,1,Chupol,83,2,,13,
1984,4,11,Amritsar,92,6,Punjab,2,
2014,8,8,Kabul,4,6,Kabul,0,0
2016,7,2,Buadi Sacayo,160,5,Lanao del Sur,1,0
2014,6,24,Nuwaidrat,18,10,Central,0,0
2003,11,18,Hamchir,6,10,Oum el-Bouaghi,1,0
2010,6,30,Baghdad,95,10,Baghdad,0,0
1990,10,5,Guatemala City,83,2,,0,
2007,3,21,Berlin,75,8,Berlin,0,0
2016,6,22,Lahij,228,10,Lahij,1,0
2015,10,29,Tripoli,113,10,Tripoli,0,0
2011,11,7,Katlang,153,6,Khyber Pakhtunkhwa,0,0
2015,1,30,Kirkuk,95,10,Kirkuk,47,0
1977,10,5,Dublin,96,8,Dublin,1,
1984,4,8,Waslala,145,2,,0,
1989,8,11,Tamun,97,10,West Bank,,
1996,7,22,Lahore,153,6,Punjab,4,
2015,3,8,Baghdad,95,10,Baghdad,3,0
2012,9,15,Baiji,95,10,Saladin,1,0
1983,5,20,Ayacucho district,159,3,Ayacucho,,
1989,3,25,Battambang Prov.,36,5,,3,
